aerodrome,فرودگاه
hackerspace,Hackerspace
ice_rink,Ice Rink
marina,Marina
miniature_golf,Miniature Golf
nature_reserve,Nature Reserve
nature_reserve,Nature Reserves
park,Park
pitch,Sports Pitch
playground,Playground
recreation_ground,Recreation Ground
slipway,Slipway
sports_centre,Sports Centre
sports_centre,Sports Centre
stadium,Stadium
swimming_pool,Swimming Pool
track,Running Track
water_park,Water Park
bay,Bay
beach,Beach
cape,Cape
cave_entrance,Cave Entrance
channel,Channel
cliff,Cliff
coastline,Coastline
crater,Crater
feature,Feature
fell,Fell
fjord,Fjord
geyser,Geyser
glacier,Glacier
heath,Heath
hill,Hill
island,Island
land,Land
marsh,Marsh
moor,Moor
mud,Mud
peak,Peak
point,Point
reef,Reef
ridge,Ridge
river,River
rock,Rock
scree,Scree
scrub,Scrub
shoal,Shoal
spring,Spring
strait,Strait
tree,Tree
valley,Valley
volcano,Volcano
water,Water
wetland,Wetland
wetlands,Wetlands
wood,Wood
city,City
country,Country
county,County
farm,Farm
hamlet,Hamlet
house,House
houses,Houses
island,Island
islet,Islet
locality,Locality
moor,Moor
municipality,Municipality
postcode,Postcode
region,Region
sea,Sea
state,State
subdivision,Subdivision
suburb,Suburb
town,Town
unincorporated_area,Unincorporated Area
village,Village
abandoned,Abandoned Railway
construction,Railway under Construction
disused,Disused Railway
disused_station,Disused Railway Station
funicular,Funicular Railway
halt,Train Stop
historic_station,Historic Railway Station
junction,Railway Junction
level_crossing,Level Crossing
light_rail,Light Rail
monorail,Monorail
narrow_gauge,Narrow Gauge Railway
narrow_gauge,Narrow Gauge Railways
platform,Railway Platform
preserved,Preserved Railway
spur,Railway Spur
station,Railway Station
station,Station
subway,Subway Station
subway_entrance,Subway Entrance
switch,Railway Points
tram,Tramway
tram_stop,Tram Stop
yard,Railway Yard
alcohol,Off License
apparel,Apparel Shop
art,Art Shop
bakery,Bakery
beauty,Beauty Shop
beverages,Beverages Shop
bicycle,Bicycle Shop
books,Book Shop
butcher,Butcher
car,Car Shop
car_dealer,Car Dealer
car_parts,Car Parts
carpet,Carpet Shop
car_repair,Car Repair
charity,Charity Shop
chemist,Chemist
clothes,Clothes Shop
computer,Computer Shop
confectionery,Confectionery Shop
convenience,Convenience Store
copyshop,Copy Shop
cosmetics,Cosmetics Shop
department_store,Department Store
discount,Discount Items Shop
doityourself,Do-It-Yourself
drugstore,Drugstore
dry_cleaning,Dry Cleaning
electronics,Electronics Shop
estate_agent,Estate Agent
farm,Farm Shop
fashion,Fashion Shop
fish,Fish Shop
florist,Florist
food,Food Shop
funeral_directors,Funeral Director
furniture,Furniture
gallery,Gallery
garden_centre,Garden Centre
garden_centre,Garden Center
general,General Store
gift,Gift Shop
greengrocer,Greengrocer
grocery,Grocery Shop
hairdresser,Hairdresser
hardware,Hardware Store
hifi,Hi-Fi
insurance,Insurance
jewelry,Jewelry Shop
kiosk,Kiosk Shop
laundry,Laundry
mall,Mall
market,Market
mobile_phone,Mobile Phone Shop
motorcycle,Motorcycle Shop
music,Music Shop
newsagent,Newsagent
newsagent,Newsagents
optician,Optician
organic,Organic Food Shop
outdoor,Outdoor Shop
pet,Pet Shop
photo,Photo Shop
salon,Salon
shoes,Shoe Shop
shopping_centre,Shopping Centre
shopping_centre,Shopping Center
sports,Sports Shop
stationery,Stationery Shop
supermarket,Supermarket
toys,Toy Shop
travel_agency,Travel Agency
video,Video Shop
wine,Off License
alpine_hut,Alpine Hut
artwork,Artwork
attraction,Attraction
bed_and_breakfast,Bed and Breakfast
cabin,Cabin
camp_site,Camp Site
caravan_site,Caravan Site
chalet,Chalet
guest_house,Guest House
hostel,Hostel
hotel,Hotel
information,Information
lean_to,Lean To
motel,Motel
museum,Museum
picnic_site,Picnic Site
theme_park,Theme Park
valley,Valley
viewpoint,Viewpoint
zoo,Zoo
boatyard,Boatyard
canal,Canal
connector,Waterway Connector
dam,Dam
derelict_canal,Derelict Canal
ditch,Ditch
dock,Dock
drain,Drain
lock,Lock
lock_gate,Lock Gate
mineral_spring,Mineral Spring
mooring,Mooring
rapids,Rapids
river,River
riverbank,Riverbank
stream,Stream
wadi,Wadi
waterfall,Waterfall
water_point,Water Point
weir,Weir
windmill,Windmill
